User: Niclas
Game;Rating
Magic;5
Rumikub;5
Blackjack;4
SKYJO;3

User: Can
Game;Rating
Fantastische Reiche;No rating asigned yet!
Paleo;No rating asigned yet!
Schach;No rating asigned yet!
4-Mann Schach;No rating asigned yet!

User: Patrick
Game;Rating
Scotland Yard;No rating asigned yet!
Skip-Bo;No rating asigned yet!
Stadt-Land-Fluss;No rating asigned yet!
scrable;No rating asigned yet!

Average Rating for each Game;
Game;Average Rating
SKYJO; 3; Has Veto -> false
Blackjack; 4; Has Veto -> false
Magic; 5; Has Veto -> true
Rumikub; 5; Has Veto -> false
