User: Person1
Game;Rating
Magic;5
Rumikub;5
Blackjack;4
SKYJO;4

User: Person2
Game;Rating
Fantastische Reiche;No rating asigned yet!
Paleo;No rating asigned yet!
Schach;No rating asigned yet!
4-Mann Schach;No rating asigned yet!

User: Person3
Game;Rating
Scotland Yard;No rating asigned yet!
Skip-Bo;No rating asigned yet!
Stadt-Land-Fluss;No rating asigned yet!
scrable;No rating asigned yet!

Average Rating for each Game;
Game;Average Rating
Blackjack; 4; Has Veto -> false
SKYJO; 4; Has Veto -> false
Magic; 5; Has Veto -> false
Rumikub; 5; Has Veto -> false
